Msg-num|Receive time [ms]|Mware time [s]|Send time [nm]|Mail time [s]|Send-to-Server[ms]|Mware-to-Server[s]|Send-to-Mware[s]|Send-to-Email[s]|Mware-to-Email[s]
1805|1592983842223|1592983839|1592983837905907388|1592983842|4318|3|2|5|3
1806|1592984453107|1592984452|1592984450638697687|1592984453|2469|1|2|3|1
1807|1592985066153|1592985065|1592985063641870836|1592985066|2512|1|2|3|1
1808|1592985679293|1592985677|1592985676380843777|1592985679|2913|2|1|3|2
1809|1592986291737|1592986290|1592986289128682256|1592986291|2609|1|1|2|1
1810|1592986905559|1592986904|1592986903104969566|1592986905|2455|1|1|2|1
1811|1592987519346|1592987516|1592987515648892841|1592987519|3698|3|1|4|3
1812|1592988131118|1592988130|1592988128620509065|1592988131|2498|1|2|3|1
1813|1592988743630|1592988742|1592988741150391788|1592988743|2480|1|1|2|1
1814|1592989356974|1592989355|1592989353932797481|1592989356|3042|1|2|3|1
1815|1592989969402|1592989968|1592989966931247239|1592989969|2471|1|2|3|1
1816|1592990584109|1592990583|1592990581551541968|1592990584|2558|1|2|3|1
1817|1592991197427|1592991195|1592991194333710386|1592991197|3094|2|1|3|2
1818|1592991809763|1592991808|1592991807157548049|1592991809|2606|1|1|2|1
1819|1592992422550|1592992421|1592992419769776124|1592992422|2781|1|2|3|1
1820|1592993034944|1592993034|1592993032362746527|1592993034|2582|0|2|2|0
1821|1592993647939|1592993646|1592993645369345934|1592993647|2570|1|1|2|1
1822|1592994260793|1592994259|1592994258208015359|1592994260|2585|1|1|2|1
1823|1592994873203|1592994872|1592994870621879774|1592994873|2582|1|2|3|1
1824|1592995485979|1592995483|1592995482600278288|1592995485|3379|2|1|3|2
1825|1592996098472|1592996097|1592996095590863957|1592996098|2882|1|2|3|1
1826|1592996711131|1592996710|1592996708622732274|1592996711|2509|1|2|3|1
1827|1592997325896|1592997324|1592997322259848060|1592997325|3637|1|2|3|1
1828|1592997938044|1592997936|1592997934878995443|1592997937|3166|2|2|3|1
1829|1592998553384|1592998548|1592998547270835979|1592998553|6114|5|1|6|5
1830|1592999162903|1592999161|1592999160116842023|1592999162|2787|1|1|2|1
1831|1592999775688|1592999774|1592999772745143752|1592999775|2943|1|2|3|1
1832|1593000393111|1593000392|1593000390647754139|1593000393|2464|1|2|3|1
1833|1593001014997|1593001014|1593001012475852646|1593001014|2522|0|2|2|0
1834|1593001631297|1593001629|1593001628130627772|1593001631|3167|2|1|3|2
1835|1593002243390|1593002242|1593002240726448080|1593002243|2664|1|2|3|1
1836|1593002856572|1593002855|1593002853521103322|1593002856|3051|1|2|3|1
1837|1593003470486|1593003467|1593003466499005666|1593003470|3987|3|1|4|3
1838|1593004082058|1593004080|1593004079518104817|1593004081|2540|2|1|2|1
1839|1593004695897|1593004695|1593004693297134017|1593004695|2600|0|2|2|0
1840|1593005309193|1593005307|1593005306087157980|1593005309|3106|2|1|3|2
1841|1593005922008|1593005920|1593005918870880852|1593005921|3138|2|2|3|1
1842|1593006535357|1593006533|1593006531829097964|1593006535|3528|2|2|4|2
1843|1593007153096|1593007151|1593007150065018594|1593007153|3031|2|1|3|2
1844|1593007764692|1593007762|1593007761618973605|1593007764|3074|2|1|3|2
1845|1593008387788|1593008386|1593008384867809447|1593008387|2921|1|2|3|1
